rowid,week,location,pathogen,year,num_cases,current_week
3418,52,UNITED STATES,crypto,2012,7956,164
3419,52,NEW ENGLAND,crypto,2012,391,1
3420,52,Conn.,crypto,2012,41,1
3421,52,Maine,crypto,2012,58,0
3422,52,Mass.,crypto,2012,155,0
3423,52,N.H.,crypto,2012,54,0
3424,52,R.I.,crypto,2012,16,0
3425,52,Vt.,crypto,2012,67,0
3426,52,MID. ATLANTIC,crypto,2012,809,22
3427,52,N.J.,crypto,2012,42,0
3428,52,N.Y. (Upstate),crypto,2012,229,10
3429,52,N.Y. City,crypto,2012,124,1
3430,52,Pa.,crypto,2012,414,11
3431,52,E.N. CENTRAL,crypto,2012,1863,23
3432,52,Ill.,crypto,2012,173,1
3433,52,Ind.,crypto,2012,164,5
3434,52,Mich.,crypto,2012,351,0
3435,52,Ohio,crypto,2012,569,8
3436,52,Wis.,crypto,2012,606,9
3437,52,W.N. CENTRAL,crypto,2012,1349,11
3438,52,Iowa,crypto,2012,328,2
3439,52,Kans.,crypto,2012,122,1
3440,52,Minn.,crypto,2012,347,0
3441,52,Mo.,crypto,2012,239,6
3442,52,Nebr.,crypto,2012,165,2
3443,52,N. Dak.,crypto,2012,35,0
3444,52,S. Dak.,crypto,2012,113,0
3445,52,S. ATLANTIC,crypto,2012,1142,30
3446,52,Del.,crypto,2012,15,0
3448,52,Fla.,crypto,2012,470,16
3449,52,Ga.,crypto,2012,257,3
3450,52,Md.,crypto,2012,86,0
3451,52,N.C.,crypto,2012,86,0
3452,52,S.C.,crypto,2012,72,3
3453,52,Va.,crypto,2012,144,7
3454,52,W. Va.,crypto,2012,12,1
3455,52,E.S. CENTRAL,crypto,2012,284,3
3456,52,Ala.,crypto,2012,109,0
3457,52,Ky.,crypto,2012,63,3
3458,52,Miss.,crypto,2012,40,0
3459,52,Tenn.,crypto,2012,72,0
3460,52,W.S. CENTRAL,crypto,2012,596,46
3461,52,Ark.,crypto,2012,42,2
3462,52,La.,crypto,2012,155,3
3463,52,Okla.,crypto,2012,97,13
3464,52,Tex.,crypto,2012,302,28
3465,52,MOUNTAIN,crypto,2012,830,7
3466,52,Ariz.,crypto,2012,47,1
3467,52,Colo.,crypto,2012,102,0
3468,52,Idaho,crypto,2012,267,2
3469,52,Mont.,crypto,2012,69,1
3470,52,Nev.,crypto,2012,15,1
3471,52,N. Mex.,crypto,2012,94,0
3472,52,Utah,crypto,2012,202,2
3473,52,Wyo.,crypto,2012,34,0
3474,52,PACIFIC,crypto,2012,692,21
3476,52,Calif.,crypto,2012,365,4
3478,52,Oreg.,crypto,2012,214,1
3479,52,Wash.,crypto,2012,101,16
13870,52,UNITED STATES,stec,2012,6460,213
13871,52,NEW ENGLAND,stec,2012,209,4
13872,52,Conn.,stec,2012,50,2
13873,52,Maine,stec,2012,20,0
13874,52,Mass.,stec,2012,96,1
13875,52,N.H.,stec,2012,23,0
13876,52,R.I.,stec,2012,2,0
13877,52,Vt.,stec,2012,18,1
13878,52,MID. ATLANTIC,stec,2012,675,17
13879,52,N.J.,stec,2012,138,1
13880,52,N.Y. (Upstate),stec,2012,243,14
13881,52,N.Y. City,stec,2012,85,0
13882,52,Pa.,stec,2012,209,2
13883,52,E.N. CENTRAL,stec,2012,1176,16
