rowid,week,location,pathogen,year,num_cases,current_week
3418,52,UNITED STATES,crypto,2002,3016,110
3419,52,NEW ENGLAND,crypto,2002,193,3
3420,52,Maine,crypto,2002,12,0
3421,52,N.H.,crypto,2002,31,2
3422,52,Vt.,crypto,2002,33,0
3423,52,Mass.,crypto,2002,77,0
3424,52,R.I.,crypto,2002,21,0
3425,52,Conn.,crypto,2002,19,1
3426,52,MID. ATLANTIC,crypto,2002,428,15
3427,52,Upstate N.Y.,crypto,2002,153,12
3428,52,N.Y. City,crypto,2002,147,3
3429,52,N.J.,crypto,2002,17,0
3430,52,Pa.,crypto,2002,111,0
3431,52,E.N. CENTRAL,crypto,2002,960,16
3432,52,Ohio,crypto,2002,119,1
3433,52,Ind.,crypto,2002,70,10
3434,52,Ill.,crypto,2002,121,0
3435,52,Mich.,crypto,2002,135,4
3436,52,Wis.,crypto,2002,515,1
3437,52,W.N. CENTRAL,crypto,2002,447,35
3438,52,Minn.,crypto,2002,206,9
3439,52,Iowa,crypto,2002,49,2
3440,52,Mo.,crypto,2002,41,1
3441,52,N. Dak.,crypto,2002,41,17
3442,52,S. Dak.,crypto,2002,42,6
3443,52,Nebr.,crypto,2002,52,0
3444,52,Kans.,crypto,2002,16,0
3445,52,S. ATLANTIC,crypto,2002,343,18
3446,52,Del.,crypto,2002,4,1
3447,52,Md.,crypto,2002,19,0
3448,52,D.C.,crypto,2002,5,0
3449,52,Va.,crypto,2002,35,5
3450,52,W. Va.,crypto,2002,3,0
3451,52,N.C.,crypto,2002,40,4
3452,52,S.C.,crypto,2002,8,2
3453,52,Ga.,crypto,2002,123,2
3454,52,Fla.,crypto,2002,106,4
3455,52,E.S. CENTRAL,crypto,2002,128,1
3456,52,Ky.,crypto,2002,10,0
3457,52,Tenn.,crypto,2002,61,1
3458,52,Ala.,crypto,2002,47,0
3459,52,Miss.,crypto,2002,10,0
3460,52,W.S. CENTRAL,crypto,2002,68,4
3461,52,Ark.,crypto,2002,8,0
3462,52,La.,crypto,2002,10,0
3463,52,Okla.,crypto,2002,16,0
3464,52,Tex.,crypto,2002,34,4
3465,52,MOUNTAIN,crypto,2002,160,4
3466,52,Mont.,crypto,2002,6,0
3467,52,Idaho,crypto,2002,29,0
3468,52,Wyo.,crypto,2002,9,0
3469,52,Colo.,crypto,2002,57,0
3470,52,N. Mex.,crypto,2002,20,0
3471,52,Ariz.,crypto,2002,19,2
3472,52,Utah,crypto,2002,16,2
3473,52,Nev.,crypto,2002,4,0
3474,52,PACIFIC,crypto,2002,289,14
3475,52,Wash.,crypto,2002,46,10
3476,52,Oreg.,crypto,2002,40,1
3477,52,Calif.,crypto,2002,200,3
6902,52,UNITED STATES,grd,2002,21206,816
6903,52,NEW ENGLAND,grd,2002,1769,37
6904,52,Maine,grd,2002,213,5
6905,52,N.H.,grd,2002,46,3
6906,52,Vt.,grd,2002,145,0
6907,52,Mass.,grd,2002,935,15
6908,52,R.I.,grd,2002,170,14
6909,52,Conn.,grd,2002,260,0
6910,52,MID. ATLANTIC,grd,2002,4304,166
6911,52,Upstate N.Y.,grd,2002,1347,126
6912,52,N.Y. City,grd,2002,1417,7
6913,52,N.J.,grd,2002,474,6
6914,52,Pa.,grd,2002,1066,27
6915,52,E.N. CENTRAL,grd,2002,3597,38
6916,52,Ohio,grd,2002,972,16
6917,52,Ind.,grd,2002,0,0
6918,52,Ill.,grd,2002,1011,0
6919,52,Mich.,grd,2002,923,16
6920,52,Wis.,grd,2002,691,6
6921,52,W.N. CENTRAL,grd,2002,2321,219
6922,52,Minn.,grd,2002,982,166
6923,52,Iowa,grd,2002,314,8
6924,52,Mo.,grd,2002,512,18
6925,52,N. Dak.,grd,2002,47,16
6926,52,S. Dak.,grd,2002,83,2
6927,52,Nebr.,grd,2002,191,5
6928,52,Kans.,grd,2002,192,4
6929,52,S. ATLANTIC,grd,2002,3076,151
6930,52,Del.,grd,2002,54,0
6931,52,Md.,grd,2002,118,3
6932,52,D.C.,grd,2002,47,1
6933,52,Va.,grd,2002,386,58
6934,52,W. Va.,grd,2002,78,19
6936,52,S.C.,grd,2002,149,7
6937,52,Ga.,grd,2002,926,25
6938,52,Fla.,grd,2002,1318,38
6939,52,E.S. CENTRAL,grd,2002,396,5
6941,52,Tenn.,grd,2002,191,5
6942,52,Ala.,grd,2002,205,0
6943,52,Miss.,grd,2002,0,0
6944,52,W.S. CENTRAL,grd,2002,269,14
6945,52,Ark.,grd,2002,175,2
6946,52,La.,grd,2002,6,0
6947,52,Okla.,grd,2002,85,12
6948,52,Tex.,grd,2002,3,0
6949,52,MOUNTAIN,grd,2002,1750,53
6950,52,Mont.,grd,2002,94,1
6951,52,Idaho,grd,2002,137,5
6952,52,Wyo.,grd,2002,29,0
6953,52,Colo.,grd,2002,571,7
6954,52,N. Mex.,grd,2002,153,2
6955,52,Ariz.,grd,2002,269,27
6956,52,Utah,grd,2002,335,8
6957,52,Nev.,grd,2002,162,3
6958,52,PACIFIC,grd,2002,3724,133
6959,52,Wash.,grd,2002,510,68
6960,52,Oreg.,grd,2002,447,4
6961,52,Calif.,grd,2002,2561,57
10386,52,UNITED STATES,lgn,2002,1316,55
10387,52,NEW ENGLAND,lgn,2002,123,7
10388,52,Maine,lgn,2002,6,1
10389,52,N.H.,lgn,2002,7,0
10390,52,Vt.,lgn,2002,35,0
10391,52,Mass.,lgn,2002,45,0
10392,52,R.I.,lgn,2002,11,2
10393,52,Conn.,lgn,2002,19,4
10394,52,MID. ATLANTIC,lgn,2002,377,17
10395,52,Upstate N.Y.,lgn,2002,118,10
10396,52,N.Y. City,lgn,2002,66,3
10397,52,N.J.,lgn,2002,35,2
10398,52,Pa.,lgn,2002,158,2
10399,52,E.N. CENTRAL,lgn,2002,296,4
10400,52,Ohio,lgn,2002,123,1
10401,52,Ind.,lgn,2002,22,1
10402,52,Ill.,lgn,2002,28,0
10403,52,Mich.,lgn,2002,85,1
10404,52,Wis.,lgn,2002,38,1
10405,52,W.N. CENTRAL,lgn,2002,71,4
10406,52,Minn.,lgn,2002,18,1
10407,52,Iowa,lgn,2002,13,0
10408,52,Mo.,lgn,2002,19,0
10409,52,N. Dak.,lgn,2002,1,0
10410,52,S. Dak.,lgn,2002,4,0
10411,52,Nebr.,lgn,2002,16,3
10412,52,Kans.,lgn,2002,0,0
10413,52,S. ATLANTIC,lgn,2002,234,11
10414,52,Del.,lgn,2002,10,0
10415,52,Md.,lgn,2002,56,0
10416,52,D.C.,lgn,2002,6,0
10417,52,Va.,lgn,2002,35,5
10418,52,W. Va.,lgn,2002,0,0
10419,52,N.C.,lgn,2002,13,0
10420,52,S.C.,lgn,2002,10,0
10421,52,Ga.,lgn,2002,19,0
10422,52,Fla.,lgn,2002,85,6
10423,52,E.S. CENTRAL,lgn,2002,50,1
10424,52,Ky.,lgn,2002,22,0
10425,52,Tenn.,lgn,2002,20,1
10426,52,Ala.,lgn,2002,8,0
10427,52,Miss.,lgn,2002,0,0
10428,52,W.S. CENTRAL,lgn,2002,37,2
10429,52,Ark.,lgn,2002,0,0
10430,52,La.,lgn,2002,4,0
10431,52,Okla.,lgn,2002,5,2
10432,52,Tex.,lgn,2002,28,0
10433,52,MOUNTAIN,lgn,2002,57,3
10434,52,Mont.,lgn,2002,4,1
10435,52,Idaho,lgn,2002,3,1
10436,52,Wyo.,lgn,2002,2,0
10437,52,Colo.,lgn,2002,9,0
10438,52,N. Mex.,lgn,2002,2,0
10439,52,Ariz.,lgn,2002,15,1
10440,52,Utah,lgn,2002,16,0
