rowid,week,location,pathogen,year,num_cases,current_week
10386,52,UNITED STATES,crypto,2015,9735,365
10387,52,NEW ENGLAND,crypto,2015,443,11
10388,52,Conn.,crypto,2015,82,1
10389,52,Maine,crypto,2015,34,2
10390,52,Mass.,crypto,2015,211,3
10391,52,N.H.,crypto,2015,36,1
10392,52,R.I.,crypto,2015,25,2
10393,52,Vt.,crypto,2015,55,2
10394,52,MID. ATLANTIC,crypto,2015,818,11
10395,52,N.J.,crypto,2015,86,0
10396,52,N.Y. (Upstate),crypto,2015,269,6
10397,52,N.Y. City,crypto,2015,133,3
10398,52,Pa.,crypto,2015,330,2
10399,52,E.N. CENTRAL,crypto,2015,1672,25
10400,52,Ill.,crypto,2015,240,1
10401,52,Ind.,crypto,2015,188,2
10402,52,Mich.,crypto,2015,238,4
10403,52,Ohio,crypto,2015,424,7
10404,52,Wis.,crypto,2015,582,11
10405,52,W.N. CENTRAL,crypto,2015,1794,19
10406,52,Iowa,crypto,2015,373,9
10407,52,Kans.,crypto,2015,179,2
10408,52,Minn.,crypto,2015,318,3
10409,52,Mo.,crypto,2015,401,1
10410,52,Nebr.,crypto,2015,259,2
10411,52,N. Dak.,crypto,2015,17,0
10412,52,S. Dak.,crypto,2015,247,2
10413,52,S. ATLANTIC,crypto,2015,1960,74
10414,52,Del.,crypto,2015,15,0
10415,52,D.C.,crypto,2015,24,0
10416,52,Fla.,crypto,2015,856,10
10417,52,Ga.,crypto,2015,350,4
10418,52,Md.,crypto,2015,99,0
10419,52,N.C.,crypto,2015,282,11
10420,52,S.C.,crypto,2015,77,1
10421,52,Va.,crypto,2015,234,46
10422,52,W. Va.,crypto,2015,23,2
10423,52,E.S. CENTRAL,crypto,2015,669,9
10424,52,Ala.,crypto,2015,261,2
10425,52,Ky.,crypto,2015,95,0
10426,52,Miss.,crypto,2015,35,2
10427,52,Tenn.,crypto,2015,278,5
10428,52,W.S. CENTRAL,crypto,2015,1057,78
10429,52,Ark.,crypto,2015,69,8
10430,52,La.,crypto,2015,132,2
10431,52,Okla.,crypto,2015,116,36
10432,52,Tex.,crypto,2015,740,32
10433,52,MOUNTAIN,crypto,2015,596,10
10434,52,Ariz.,crypto,2015,62,1
10435,52,Colo.,crypto,2015,136,3
10436,52,Idaho,crypto,2015,95,0
10437,52,Mont.,crypto,2015,39,1
10438,52,Nev.,crypto,2015,12,1
10439,52,N. Mex.,crypto,2015,51,0
10440,52,Utah,crypto,2015,173,4
10441,52,Wyo.,crypto,2015,28,0
10442,52,PACIFIC,crypto,2015,726,128
10444,52,Calif.,crypto,2015,372,12
10446,52,Oreg.,crypto,2015,213,6
10447,52,Wash.,crypto,2015,110,110
6902,52,UNITED STATES,stec,2015,7059,549
6903,52,NEW ENGLAND,stec,2015,247,5
6904,52,Conn.,stec,2015,82,1
6905,52,Maine,stec,2015,29,0
6906,52,Mass.,stec,2015,69,4
6907,52,N.H.,stec,2015,29,0
6908,52,R.I.,stec,2015,9,0
6909,52,Vt.,stec,2015,29,0
6910,52,MID. ATLANTIC,stec,2015,667,13
6911,52,N.J.,stec,2015,137,2
6912,52,N.Y. (Upstate),stec,2015,199,7
6913,52,N.Y. City,stec,2015,104,1
6914,52,Pa.,stec,2015,227,3
6915,52,E.N. CENTRAL,stec,2015,927,6
