rowid,week,location,num_cases,pathogen,year,current_week
13669,52,United States,11414,crypto,2017,375
13670,52,New England,426,crypto,2017,5
13671,52,Connecticut,72,crypto,2017,0
13672,52,Maine,45,crypto,2017,0
13673,52,Massachusetts,154,crypto,2017,3
13674,52,New Hampshire,72,crypto,2017,0
13675,52,Rhode Island,33,crypto,2017,1
13676,52,Vermont,50,crypto,2017,1
13677,52,Middle Atlantic,979,crypto,2017,15
13678,52,New Jersey,135,crypto,2017,3
13679,52,New York (excluding New York City),276,crypto,2017,6
13680,52,New York City,163,crypto,2017,2
13681,52,Pennsylvania,405,crypto,2017,4
13682,52,East North Central,2356,crypto,2017,21
13683,52,Illinois,335,crypto,2017,3
13684,52,Indiana,223,crypto,2017,0
13685,52,Michigan,422,crypto,2017,6
13686,52,Ohio,649,crypto,2017,4
13687,52,Wisconsin,727,crypto,2017,8
13688,52,West North Central,1887,crypto,2017,10
13689,52,Iowa,538,crypto,2017,4
13690,52,Kansas,128,crypto,2017,1
13691,52,Minnesota,481,crypto,2017,3
13692,52,Missouri,332,crypto,2017,1
13693,52,Nebraska,203,crypto,2017,1
13694,52,North Dakota,42,crypto,2017,0
13695,52,South Dakota,163,crypto,2017,0
13696,52,South Atlantic,1699,crypto,2017,44
13697,52,Delaware,36,crypto,2017,0
13698,52,District of Columbia,43,crypto,2017,0
13699,52,Florida,556,crypto,2017,10
13700,52,Georgia,349,crypto,2017,8
13701,52,Maryland,100,crypto,2017,1
13702,52,North Carolina,211,crypto,2017,2
13703,52,South Carolina,112,crypto,2017,0
13704,52,Virginia,239,crypto,2017,22
13705,52,West Virginia,53,crypto,2017,1
13706,52,East South Central,548,crypto,2017,5
13707,52,Alabama,189,crypto,2017,1
13708,52,Kentucky,91,crypto,2017,0
13709,52,Mississippi,62,crypto,2017,1
13710,52,Tennessee,206,crypto,2017,3
13711,52,West South Central,1625,crypto,2017,105
13712,52,Arkansas,131,crypto,2017,1
13713,52,Louisiana,145,crypto,2017,2
13714,52,Oklahoma,197,crypto,2017,42
13715,52,Texas,1152,crypto,2017,60
13716,52,Mountain,789,crypto,2017,4
13717,52,Arizona,112,crypto,2017,0
13718,52,Colorado,200,crypto,2017,2
13719,52,Idaho,94,crypto,2017,0
13720,52,Montana,70,crypto,2017,0
13721,52,Nevada,43,crypto,2017,1
13722,52,New Mexico,122,crypto,2017,0
13723,52,Utah,125,crypto,2017,1
13724,52,Wyoming,23,crypto,2017,0
13725,52,Pacific,1105,crypto,2017,166
13727,52,California,640,crypto,2017,11
13729,52,Oregon,291,crypto,2017,5
13730,52,Washington,150,crypto,2017,150
13732,52,Commonwealth of Northern Mariana Islands,0,crypto,2017,0
13734,52,Puerto Rico,0,crypto,2017,0
13735,52,U.S. Virgin Islands,0,crypto,2017,0
13870,52,United States,8672,stec,2017,436
13871,52,New England,325,stec,2017,3
13872,52,Connecticut,74,stec,2017,1
13873,52,Maine,34,stec,2017,0
13874,52,Massachusetts,137,stec,2017,1
13875,52,New Hampshire,43,stec,2017,0
13876,52,Rhode Island,14,stec,2017,0
13877,52,Vermont,23,stec,2017,1
13878,52,Middle Atlantic,674,stec,2017,11
