rowid,week,location,pathogen,year,num_cases,current_week
3418,52,UNITED STATES,crypto,2003,3406,52
3419,52,NEW ENGLAND,crypto,2003,189,0
3420,52,Maine,crypto,2003,20,0
3421,52,N.H.,crypto,2003,25,0
3422,52,Vt.,crypto,2003,32,0
3423,52,Mass.,crypto,2003,78,0
3424,52,R.I.,crypto,2003,16,0
3425,52,Conn.,crypto,2003,18,0
3426,52,MID. ATLANTIC,crypto,2003,444,4
3427,52,Upstate N.Y.,crypto,2003,134,3
3428,52,N.Y. City,crypto,2003,126,1
3429,52,N.J.,crypto,2003,19,0
3430,52,Pa.,crypto,2003,165,0
3431,52,E.N. CENTRAL,crypto,2003,1005,5
3432,52,Ohio,crypto,2003,171,0
3433,52,Ind.,crypto,2003,105,0
3434,52,Ill.,crypto,2003,101,2
3435,52,Mich.,crypto,2003,149,3
3436,52,Wis.,crypto,2003,479,0
3437,52,W.N. CENTRAL,crypto,2003,586,9
3438,52,Minn.,crypto,2003,152,2
3439,52,Iowa,crypto,2003,122,0
3440,52,Mo.,crypto,2003,51,1
3441,52,N. Dak.,crypto,2003,14,0
3442,52,S. Dak.,crypto,2003,48,3
3443,52,Nebr.,crypto,2003,26,2
3444,52,Kans.,crypto,2003,173,1
3445,52,S. ATLANTIC,crypto,2003,415,25
3446,52,Del.,crypto,2003,4,0
3447,52,Md.,crypto,2003,28,0
3448,52,D.C.,crypto,2003,13,0
3449,52,Va.,crypto,2003,54,10
3450,52,W. Va.,crypto,2003,4,0
3451,52,N.C.,crypto,2003,51,0
3452,52,S.C.,crypto,2003,10,0
3453,52,Ga.,crypto,2003,122,4
3454,52,Fla.,crypto,2003,129,11
3455,52,E.S. CENTRAL,crypto,2003,132,4
3456,52,Ky.,crypto,2003,24,0
3457,52,Tenn.,crypto,2003,42,2
3458,52,Ala.,crypto,2003,56,2
3459,52,Miss.,crypto,2003,10,0
3460,52,W.S. CENTRAL,crypto,2003,125,1
3461,52,Ark.,crypto,2003,20,0
3462,52,La.,crypto,2003,5,0
3463,52,Okla.,crypto,2003,21,1
3464,52,Tex.,crypto,2003,79,0
3465,52,MOUNTAIN,crypto,2003,136,2
3466,52,Mont.,crypto,2003,18,0
3467,52,Idaho,crypto,2003,27,0
3468,52,Wyo.,crypto,2003,5,0
3469,52,Colo.,crypto,2003,37,0
3470,52,N. Mex.,crypto,2003,16,2
3471,52,Ariz.,crypto,2003,6,0
3472,52,Utah,crypto,2003,19,0
3473,52,Nev.,crypto,2003,8,0
3474,52,PACIFIC,crypto,2003,374,2
3475,52,Wash.,crypto,2003,58,0
3476,52,Oreg.,crypto,2003,36,0
3477,52,Calif.,crypto,2003,279,2
6902,52,UNITED STATES,grd,2003,19195,464
6903,52,NEW ENGLAND,grd,2003,1622,18
6904,52,Maine,grd,2003,182,2
6905,52,N.H.,grd,2003,43,2
6906,52,Vt.,grd,2003,121,1
6907,52,Mass.,grd,2003,845,13
6908,52,R.I.,grd,2003,114,0
6909,52,Conn.,grd,2003,317,0
