rowid,week,location,pathogen,year,num_cases,current_week
3418,52,UNITED STATES,crypto,2007,11170,251
3419,52,NEW ENGLAND,crypto,2007,335,1
3420,52,Conn.,crypto,2007,42,0
3421,52,Maine,crypto,2007,56,0
3422,52,Mass.,crypto,2007,132,1
3423,52,N.H.,crypto,2007,47,0
3424,52,R.I.,crypto,2007,11,0
3425,52,Vt.,crypto,2007,47,0
3426,52,MID. ATLANTIC,crypto,2007,1365,20
3427,52,N.J.,crypto,2007,67,0
3428,52,N.Y. (Upstate),crypto,2007,254,12
3429,52,N.Y. City,crypto,2007,105,3
3430,52,Pa.,crypto,2007,939,5
3431,52,E.N. CENTRAL,crypto,2007,1921,58
3432,52,Ill.,crypto,2007,201,3
3433,52,Ind.,crypto,2007,149,41
3434,52,Mich.,crypto,2007,211,3
3435,52,Ohio,crypto,2007,570,6
3436,52,Wis.,crypto,2007,790,5
3437,52,W.N. CENTRAL,crypto,2007,1659,71
3438,52,Iowa,crypto,2007,610,1
3439,52,Kans.,crypto,2007,144,1
3440,52,Minn.,crypto,2007,302,14
3441,52,Mo.,crypto,2007,182,2
3442,52,Nebr.,crypto,2007,174,1
3443,52,N. Dak.,crypto,2007,78,51
3444,52,S. Dak.,crypto,2007,169,1
3445,52,S. ATLANTIC,crypto,2007,1287,23
3446,52,Del.,crypto,2007,20,0
3447,52,D.C.,crypto,2007,3,0
3448,52,Fla.,crypto,2007,667,6
3449,52,Ga.,crypto,2007,239,4
3450,52,Md.,crypto,2007,36,0
3451,52,N.C.,crypto,2007,132,7
3452,52,S.C.,crypto,2007,88,4
3453,52,Va.,crypto,2007,90,1
3454,52,W. Va.,crypto,2007,12,1
3455,52,E.S. CENTRAL,crypto,2007,616,2
3456,52,Ala.,crypto,2007,125,1
3457,52,Ky.,crypto,2007,249,1
3458,52,Miss.,crypto,2007,102,0
3459,52,Tenn.,crypto,2007,140,0
3460,52,W.S. CENTRAL,crypto,2007,487,37
3461,52,Ark.,crypto,2007,63,1
3462,52,La.,crypto,2007,64,1
3463,52,Okla.,crypto,2007,127,7
3464,52,Tex.,crypto,2007,233,28
3465,52,MOUNTAIN,crypto,2007,2922,10
3466,52,Ariz.,crypto,2007,53,0
3467,52,Colo.,crypto,2007,211,0
3468,52,Idaho,crypto,2007,464,1
3469,52,Mont.,crypto,2007,75,6
3470,52,Nev.,crypto,2007,37,1
3471,52,N. Mex.,crypto,2007,125,0
3472,52,Utah,crypto,2007,1901,2
3473,52,Wyo.,crypto,2007,56,0
3474,52,PACIFIC,crypto,2007,578,29
3476,52,Calif.,crypto,2007,303,13
3478,52,Oreg.,crypto,2007,126,0
3479,52,Wash.,crypto,2007,139,16
13870,52,UNITED STATES,stec,2007,4847,141
13871,52,NEW ENGLAND,stec,2007,315,4
13872,52,Conn.,stec,2007,71,0
13873,52,Maine,stec,2007,41,1
13874,52,Mass.,stec,2007,145,2
13875,52,N.H.,stec,2007,35,0
13876,52,R.I.,stec,2007,8,1
13877,52,Vt.,stec,2007,15,0
13878,52,MID. ATLANTIC,stec,2007,531,10
13879,52,N.J.,stec,2007,118,2
13880,52,N.Y. (Upstate),stec,2007,208,7
13881,52,N.Y. City,stec,2007,50,0
13882,52,Pa.,stec,2007,155,1
13883,52,E.N. CENTRAL,stec,2007,746,10
13884,52,Ill.,stec,2007,131,0
13885,52,Ind.,stec,2007,105,3
13886,52,Mich.,stec,2007,128,4
13887,52,Ohio,stec,2007,155,1
13888,52,Wis.,stec,2007,227,2
13889,52,W.N. CENTRAL,stec,2007,780,27
13890,52,Iowa,stec,2007,175,1
13891,52,Kans.,stec,2007,52,0
13892,52,Minn.,stec,2007,232,5
13893,52,Mo.,stec,2007,152,1
13894,52,Nebr.,stec,2007,93,0
13895,52,N. Dak.,stec,2007,29,20
13896,52,S. Dak.,stec,2007,47,0
13897,52,S. ATLANTIC,stec,2007,710,22
13898,52,Del.,stec,2007,16,0
13899,52,D.C.,stec,2007,0,0
13900,52,Fla.,stec,2007,164,2
13901,52,Ga.,stec,2007,94,1
13902,52,Md.,stec,2007,85,1
13903,52,N.C.,stec,2007,153,11
13904,52,S.C.,stec,2007,14,0
13905,52,Va.,stec,2007,165,7
13906,52,W. Va.,stec,2007,19,0
13907,52,E.S. CENTRAL,stec,2007,319,2
13908,52,Ala.,stec,2007,67,0
13909,52,Ky.,stec,2007,123,0
13910,52,Miss.,stec,2007,8,1
13911,52,Tenn.,stec,2007,121,1
13912,52,W.S. CENTRAL,stec,2007,300,25
13913,52,Ark.,stec,2007,45,2
13914,52,La.,stec,2007,12,0
13915,52,Okla.,stec,2007,33,14
13916,52,Tex.,stec,2007,210,9
13917,52,MOUNTAIN,stec,2007,589,6
13918,52,Ariz.,stec,2007,106,0
13919,52,Colo.,stec,2007,154,1
13920,52,Idaho,stec,2007,133,1
13921,52,Mont.,stec,2007,0,0
13922,52,Nev.,stec,2007,31,0
13923,52,N. Mex.,stec,2007,42,2
13924,52,Utah,stec,2007,100,1
13925,52,Wyo.,stec,2007,23,1
13926,52,PACIFIC,stec,2007,557,35
13928,52,Calif.,stec,2007,293,22
13930,52,Oreg.,stec,2007,79,2
13931,52,Wash.,stec,2007,141,9
6902,52,UNITED STATES,grd,2007,19417,1158
6903,52,NEW ENGLAND,grd,2007,1461,14
6904,52,Conn.,grd,2007,370,4
6905,52,Maine,grd,2007,197,5
6906,52,Mass.,grd,2007,605,3
6907,52,N.H.,grd,2007,33,0
6908,52,R.I.,grd,2007,85,2
6909,52,Vt.,grd,2007,171,0
6910,52,MID. ATLANTIC,grd,2007,3283,131
6911,52,N.J.,grd,2007,403,2
6912,52,N.Y. (Upstate),grd,2007,1275,111
6913,52,N.Y. City,grd,2007,847,10
6914,52,Pa.,grd,2007,758,8
6915,52,E.N. CENTRAL,grd,2007,2867,40
6916,52,Ill.,grd,2007,866,11
6918,52,Mich.,grd,2007,620,9
6919,52,Ohio,grd,2007,826,15
6920,52,Wis.,grd,2007,555,5
6921,52,W.N. CENTRAL,grd,2007,2237,621
6922,52,Iowa,grd,2007,301,2
6923,52,Kans.,grd,2007,184,1
6924,52,Minn.,grd,2007,913,575
6925,52,Mo.,grd,2007,515,2
6926,52,Nebr.,grd,2007,160,4
6927,52,N. Dak.,grd,2007,60,36
6928,52,S. Dak.,grd,2007,104,1
6929,52,S. ATLANTIC,grd,2007,3088,70
6930,52,Del.,grd,2007,41,0
6931,52,D.C.,grd,2007,74,0
6932,52,Fla.,grd,2007,1268,16
