rowid,week,location,pathogen,year,num_cases,current_week
3417,52,UNITED STATES,crypto,2000,3128,192
3418,52,NEW ENGLAND,crypto,2000,143,4
3419,52,Maine,crypto,2000,20,0
3420,52,N.H.,crypto,2000,25,1
3421,52,Vt.,crypto,2000,28,0
3422,52,Mass.,crypto,2000,37,0
3423,52,R.I.,crypto,2000,4,0
3424,52,Conn.,crypto,2000,29,3
3425,52,MID. ATLANTIC,crypto,2000,393,10
3426,52,Upstate N.Y.,crypto,2000,139,9
3427,52,N.Y. City,crypto,2000,171,1
3428,52,N.J.,crypto,2000,19,0
3429,52,Pa.,crypto,2000,64,0
3430,52,E.N. CENTRAL,crypto,2000,983,30
3431,52,Ohio,crypto,2000,260,1
3432,52,Ind.,crypto,2000,72,13
3433,52,Ill.,crypto,2000,126,4
3434,52,Mich.,crypto,2000,97,2
3435,52,Wis.,crypto,2000,428,10
3436,52,W.N. CENTRAL,crypto,2000,422,71
3437,52,Minn.,crypto,2000,190,67
3438,52,Iowa,crypto,2000,77,1
3439,52,Mo.,crypto,2000,31,0
3440,52,N. Dak.,crypto,2000,18,2
3441,52,S. Dak.,crypto,2000,15,0
3442,52,Nebr.,crypto,2000,82,1
3443,52,Kans.,crypto,2000,9,0
3444,52,S. ATLANTIC,crypto,2000,524,53
3445,52,Del.,crypto,2000,9,3
3446,52,Md.,crypto,2000,14,0
3447,52,D.C.,crypto,2000,18,0
3448,52,Va.,crypto,2000,21,1
3449,52,W. Va.,crypto,2000,3,0
3450,52,N.C.,crypto,2000,28,0
3451,52,S.C.,crypto,2000,0,0
3452,52,Ga.,crypto,2000,191,21
3453,52,Fla.,crypto,2000,240,28
3454,52,E.S. CENTRAL,crypto,2000,51,1
3455,52,Ky.,crypto,2000,7,0
3456,52,Tenn.,crypto,2000,12,1
3457,52,Ala.,crypto,2000,16,0
3458,52,Miss.,crypto,2000,16,0
3459,52,W.S. CENTRAL,crypto,2000,175,13
3460,52,Ark.,crypto,2000,16,0
3461,52,La.,crypto,2000,14,0
3462,52,Okla.,crypto,2000,30,13
3463,52,Tex.,crypto,2000,115,0
3464,52,MOUNTAIN,crypto,2000,182,8
3465,52,Mont.,crypto,2000,10,0
3466,52,Idaho,crypto,2000,28,5
3467,52,Wyo.,crypto,2000,5,0
3468,52,Colo.,crypto,2000,72,0
3469,52,N. Mex.,crypto,2000,25,3
3470,52,Ariz.,crypto,2000,10,0
3471,52,Utah,crypto,2000,28,0
3472,52,Nev.,crypto,2000,4,0
3473,52,PACIFIC,crypto,2000,255,2
3475,52,Oreg.,crypto,2000,20,0
3476,52,Calif.,crypto,2000,235,2
6901,52,UNITED STATES,lgn,2000,1127,68
6902,52,NEW ENGLAND,lgn,2000,56,0
6903,52,Maine,lgn,2000,2,0
6904,52,N.H.,lgn,2000,4,0
6905,52,Vt.,lgn,2000,5,0
6906,52,Mass.,lgn,2000,18,0
6907,52,R.I.,lgn,2000,9,0
6908,52,Conn.,lgn,2000,18,0
6909,52,MID. ATLANTIC,lgn,2000,306,10
6910,52,Upstate N.Y.,lgn,2000,100,5
6911,52,N.Y. City,lgn,2000,47,0
6912,52,N.J.,lgn,2000,23,0
6913,52,Pa.,lgn,2000,136,5
6914,52,E.N. CENTRAL,lgn,2000,292,13
6915,52,Ohio,lgn,2000,121,5
6916,52,Ind.,lgn,2000,41,4
6917,52,Ill.,lgn,2000,33,0
6918,52,Mich.,lgn,2000,53,3
6919,52,Wis.,lgn,2000,44,1
6920,52,W.N. CENTRAL,lgn,2000,69,11
6921,52,Minn.,lgn,2000,16,9
6922,52,Iowa,lgn,2000,15,0
6923,52,Mo.,lgn,2000,26,0
6924,52,N. Dak.,lgn,2000,1,1
6925,52,S. Dak.,lgn,2000,2,0
6926,52,Nebr.,lgn,2000,5,1
6927,52,Kans.,lgn,2000,4,0
6928,52,S. ATLANTIC,lgn,2000,211,21
6929,52,Del.,lgn,2000,10,0
6930,52,Md.,lgn,2000,70,2
6931,52,D.C.,lgn,2000,7,0
6932,52,Va.,lgn,2000,37,3
6934,52,N.C.,lgn,2000,16,0
6935,52,S.C.,lgn,2000,7,1
6936,52,Ga.,lgn,2000,10,3
6937,52,Fla.,lgn,2000,54,12
6938,52,E.S. CENTRAL,lgn,2000,45,5
6939,52,Ky.,lgn,2000,22,2
6940,52,Tenn.,lgn,2000,15,3
6941,52,Ala.,lgn,2000,5,0
6942,52,Miss.,lgn,2000,3,0
6943,52,W.S. CENTRAL,lgn,2000,27,1
6944,52,Ark.,lgn,2000,0,0
6945,52,La.,lgn,2000,7,0
6946,52,Okla.,lgn,2000,5,0
6947,52,Tex.,lgn,2000,15,1
6948,52,MOUNTAIN,lgn,2000,47,4
6949,52,Mont.,lgn,2000,2,0
6950,52,Idaho,lgn,2000,5,0
6951,52,Wyo.,lgn,2000,0,0
6952,52,Colo.,lgn,2000,15,0
6953,52,N. Mex.,lgn,2000,1,0
6954,52,Ariz.,lgn,2000,11,4
6955,52,Utah,lgn,2000,12,0
6956,52,Nev.,lgn,2000,1,0
6957,52,PACIFIC,lgn,2000,74,3
6958,52,Wash.,lgn,2000,19,1
6960,52,Calif.,lgn,2000,54,2
3417,52,UNITED STATES,ecoli,2000,8148,115
3418,52,NEW ENGLAND,ecoli,2000,762,5
3419,52,Maine,ecoli,2000,61,1
3420,52,N.H.,ecoli,2000,79,2
3421,52,Vt.,ecoli,2000,74,0
3422,52,Mass.,ecoli,2000,342,2
3423,52,R.I.,ecoli,2000,38,0
3424,52,Conn.,ecoli,2000,168,0
3425,52,MID. ATLANTIC,ecoli,2000,791,10
3426,52,Upstate N.Y.,ecoli,2000,385,8
3427,52,N.Y. City,ecoli,2000,41,0
3428,52,N.J.,ecoli,2000,236,2
3430,52,E.N. CENTRAL,ecoli,2000,1858,21
3431,52,Ohio,ecoli,2000,501,5
3432,52,Ind.,ecoli,2000,219,6
3433,52,Ill.,ecoli,2000,352,2
3434,52,Mich.,ecoli,2000,245,0
3435,52,Wis.,ecoli,2000,541,8
3436,52,W.N. CENTRAL,ecoli,2000,1307,18
3437,52,Minn.,ecoli,2000,443,7
3438,52,Iowa,ecoli,2000,328,0
3439,52,Mo.,ecoli,2000,209,1
3440,52,N. Dak.,ecoli,2000,44,2
3441,52,S. Dak.,ecoli,2000,115,0
3442,52,Nebr.,ecoli,2000,120,8
3443,52,Kans.,ecoli,2000,48,0
3444,52,S. ATLANTIC,ecoli,2000,681,23
3445,52,Del.,ecoli,2000,4,0
3446,52,Md.,ecoli,2000,37,1
3448,52,Va.,ecoli,2000,145,3
3449,52,W. Va.,ecoli,2000,28,0
3450,52,N.C.,ecoli,2000,168,5
3451,52,S.C.,ecoli,2000,37,0
3452,52,Ga.,ecoli,2000,84,4
3453,52,Fla.,ecoli,2000,177,10
3454,52,E.S. CENTRAL,ecoli,2000,270,2
3455,52,Ky.,ecoli,2000,73,1
3456,52,Tenn.,ecoli,2000,117,1
3457,52,Ala.,ecoli,2000,19,0
3458,52,Miss.,ecoli,2000,61,0
3459,52,W.S. CENTRAL,ecoli,2000,512,6
3460,52,Ark.,ecoli,2000,94,0
3461,52,La.,ecoli,2000,69,0
3462,52,Okla.,ecoli,2000,36,0
3463,52,Tex.,ecoli,2000,313,6
3464,52,MOUNTAIN,ecoli,2000,730,2
3465,52,Mont.,ecoli,2000,31,0
3466,52,Idaho,ecoli,2000,114,0
3467,52,Wyo.,ecoli,2000,32,0
3468,52,Colo.,ecoli,2000,266,0
3469,52,N. Mex.,ecoli,2000,40,0
3470,52,Ariz.,ecoli,2000,101,1
3471,52,Utah,ecoli,2000,121,1
3472,52,Nev.,ecoli,2000,25,0
3473,52,PACIFIC,ecoli,2000,1237,28
3474,52,Wash.,ecoli,2000,443,14
3475,52,Oreg.,ecoli,2000,249,1
3476,52,Calif.,ecoli,2000,482,13
10385,52,UNITED STATES,salm,2000,71523,1754
10386,52,NEW ENGLAND,salm,2000,4400,68
10387,52,Maine,salm,2000,228,3
10388,52,N.H.,salm,2000,297,6
10389,52,Vt.,salm,2000,214,1
10390,52,Mass.,salm,2000,2486,33
10391,52,R.I.,salm,2000,310,10
10392,52,Conn.,salm,2000,865,15
10393,52,MID. ATLANTIC,salm,2000,10311,182
