rowid,week,location,pathogen,year,num_cases,current_week
3417,52,UNITED STATES,crypto,2004,3636,123
3418,52,NEW ENGLAND,crypto,2004,171,6
3419,52,Maine,crypto,2004,22,2
3420,52,N.H.,crypto,2004,30,0
3421,52,Vt.,crypto,2004,25,0
3422,52,Mass.,crypto,2004,59,0
3423,52,R.I.,crypto,2004,4,0
3424,52,Conn.,crypto,2004,31,4
3425,52,MID. ATLANTIC,crypto,2004,579,12
3426,52,Upstate N.Y.,crypto,2004,185,7
3427,52,N.Y. City,crypto,2004,138,2
3428,52,N.J.,crypto,2004,46,0
3429,52,Pa.,crypto,2004,210,3
3430,52,E.N. CENTRAL,crypto,2004,1049,16
3431,52,Ohio,crypto,2004,224,3
3432,52,Ind.,crypto,2004,79,4
3433,52,Ill.,crypto,2004,161,4
3434,52,Mich.,crypto,2004,157,1
3435,52,Wis.,crypto,2004,428,4
3436,52,W.N. CENTRAL,crypto,2004,431,18
3437,52,Minn.,crypto,2004,147,14
3438,52,Iowa,crypto,2004,90,2
3439,52,Mo.,crypto,2004,78,1
3440,52,N. Dak.,crypto,2004,12,0
3441,52,S. Dak.,crypto,2004,44,1
3442,52,Nebr.,crypto,2004,29,0
3443,52,Kans.,crypto,2004,31,0
3444,52,S. ATLANTIC,crypto,2004,540,23
3445,52,Del.,crypto,2004,0,0
3446,52,Md.,crypto,2004,26,1
3447,52,D.C.,crypto,2004,16,1
3448,52,Va.,crypto,2004,66,8
3449,52,W. Va.,crypto,2004,6,0
3450,52,N.C.,crypto,2004,76,0
3451,52,S.C.,crypto,2004,24,1
3452,52,Ga.,crypto,2004,177,1
3453,52,Fla.,crypto,2004,149,11
3454,52,E.S. CENTRAL,crypto,2004,151,3
3455,52,Ky.,crypto,2004,47,2
3456,52,Tenn.,crypto,2004,49,1
3457,52,Ala.,crypto,2004,25,0
3458,52,Miss.,crypto,2004,30,0
3459,52,W.S. CENTRAL,crypto,2004,150,13
3460,52,Ark.,crypto,2004,16,0
3461,52,La.,crypto,2004,7,0
3462,52,Okla.,crypto,2004,22,0
3463,52,Tex.,crypto,2004,105,13
3464,52,MOUNTAIN,crypto,2004,171,1
3465,52,Mont.,crypto,2004,34,0
3466,52,Idaho,crypto,2004,28,0
3467,52,Wyo.,crypto,2004,4,0
3468,52,Colo.,crypto,2004,59,0
3469,52,N. Mex.,crypto,2004,21,1
3470,52,Ariz.,crypto,2004,17,0
3471,52,Utah,crypto,2004,6,0
3472,52,Nev.,crypto,2004,2,0
3473,52,PACIFIC,crypto,2004,394,31
3474,52,Wash.,crypto,2004,63,17
3475,52,Oreg.,crypto,2004,32,1
3476,52,Calif.,crypto,2004,297,13
6897,52,UNITED STATES,grd,2004,20648,1255
6898,52,NEW ENGLAND,grd,2004,1794,63
6899,52,Maine,grd,2004,155,5
6900,52,N.H.,grd,2004,48,2
6901,52,Vt.,grd,2004,168,0
6902,52,Mass.,grd,2004,787,11
6903,52,R.I.,grd,2004,130,8
6904,52,Conn.,grd,2004,506,37
6905,52,MID. ATLANTIC,grd,2004,4149,183
6906,52,Upstate N.Y.,grd,2004,1528,147
6907,52,N.Y. City,grd,2004,1085,14
6908,52,N.J.,grd,2004,507,6
6909,52,Pa.,grd,2004,1029,16
6910,52,E.N. CENTRAL,grd,2004,3298,51
6911,52,Ohio,grd,2004,807,14
6913,52,Ill.,grd,2004,807,11
6914,52,Mich.,grd,2004,718,4
6915,52,Wis.,grd,2004,966,22
6916,52,W.N. CENTRAL,grd,2004,2763,639
