rowid,week,location,pathogen,year,num_cases,current_week
3418,52,UNITED STATES,crypto,2006,5636,164
3419,52,NEW ENGLAND,crypto,2006,379,2
3420,52,Conn.,crypto,2006,38,0
3421,52,Maine,crypto,2006,52,2
3422,52,Mass.,crypto,2006,175,0
3423,52,N.H.,crypto,2006,47,0
3424,52,R.I.,crypto,2006,14,0
3425,52,Vt.,crypto,2006,53,0
3426,52,MID. ATLANTIC,crypto,2006,667,16
3427,52,N.J.,crypto,2006,42,0
3428,52,N.Y. (Upstate),crypto,2006,184,14
3429,52,N.Y. City,crypto,2006,155,1
3430,52,Pa.,crypto,2006,286,1
3431,52,E.N. CENTRAL,crypto,2006,1350,24
3432,52,Ill.,crypto,2006,204,6
3433,52,Ind.,crypto,2006,113,12
3434,52,Mich.,crypto,2006,144,0
3435,52,Ohio,crypto,2006,357,4
3436,52,Wis.,crypto,2006,532,2
3437,52,W.N. CENTRAL,crypto,2006,892,38
3438,52,Iowa,crypto,2006,176,1
3439,52,Kans.,crypto,2006,82,1
3440,52,Minn.,crypto,2006,242,25
3441,52,Mo.,crypto,2006,188,0
3442,52,Nebr.,crypto,2006,98,0
3443,52,N. Dak.,crypto,2006,20,11
3444,52,S. Dak.,crypto,2006,86,0
3445,52,S. ATLANTIC,crypto,2006,1222,30
3446,52,Del.,crypto,2006,15,0
3447,52,D.C.,crypto,2006,17,1
3448,52,Fla.,crypto,2006,577,20
3449,52,Ga.,crypto,2006,275,0
3450,52,Md.,crypto,2006,20,0
3451,52,N.C.,crypto,2006,101,4
3452,52,S.C.,crypto,2006,131,0
3453,52,Va.,crypto,2006,71,2
3454,52,W. Va.,crypto,2006,15,3
3455,52,E.S. CENTRAL,crypto,2006,188,2
3456,52,Ala.,crypto,2006,72,1
3457,52,Ky.,crypto,2006,44,0
3458,52,Miss.,crypto,2006,24,0
3459,52,Tenn.,crypto,2006,48,1
3460,52,W.S. CENTRAL,crypto,2006,438,41
3461,52,Ark.,crypto,2006,29,3
3462,52,La.,crypto,2006,86,0
3463,52,Okla.,crypto,2006,50,9
3464,52,Tex.,crypto,2006,273,29
3465,52,MOUNTAIN,crypto,2006,416,10
3466,52,Ariz.,crypto,2006,29,0
3467,52,Colo.,crypto,2006,77,1
3468,52,Idaho,crypto,2006,38,0
3469,52,Mont.,crypto,2006,141,4
3470,52,Nev.,crypto,2006,14,0
3471,52,N. Mex.,crypto,2006,45,1
3472,52,Utah,crypto,2006,21,3
3473,52,Wyo.,crypto,2006,51,1
3474,52,PACIFIC,crypto,2006,84,1
3476,52,Calif.,crypto,2006,0,0
3478,52,Oreg.,crypto,2006,76,1
3479,52,Wash.,crypto,2006,0,0
13870,52,UNITED STATES,stec,2006,4432,336
13871,52,NEW ENGLAND,stec,2006,287,3
13872,52,Conn.,stec,2006,75,0
13873,52,Maine,stec,2006,50,2
13874,52,Mass.,stec,2006,105,0
13875,52,N.H.,stec,2006,29,0
13876,52,R.I.,stec,2006,9,1
13877,52,Vt.,stec,2006,19,0
13878,52,MID. ATLANTIC,stec,2006,610,20
13879,52,N.J.,stec,2006,163,4
13880,52,N.Y. (Upstate),stec,2006,193,13
13881,52,N.Y. City,stec,2006,43,0
13882,52,Pa.,stec,2006,211,3
13883,52,E.N. CENTRAL,stec,2006,693,9
13884,52,Ill.,stec,2006,104,2
13885,52,Ind.,stec,2006,95,5
13886,52,Mich.,stec,2006,94,0
13887,52,Ohio,stec,2006,196,0
13888,52,Wis.,stec,2006,204,2
13889,52,W.N. CENTRAL,stec,2006,722,30
13890,52,Iowa,stec,2006,163,0
13891,52,Kans.,stec,2006,25,0
13892,52,Minn.,stec,2006,220,14
13893,52,Mo.,stec,2006,167,4
13894,52,Nebr.,stec,2006,79,0
13895,52,N. Dak.,stec,2006,18,12
13896,52,S. Dak.,stec,2006,50,0
13897,52,S. ATLANTIC,stec,2006,668,27
13898,52,Del.,stec,2006,16,0
13899,52,D.C.,stec,2006,4,1
13900,52,Fla.,stec,2006,102,8
13901,52,Ga.,stec,2006,84,0
13902,52,Md.,stec,2006,131,3
13903,52,N.C.,stec,2006,129,7
13904,52,S.C.,stec,2006,17,0
13905,52,Va.,stec,2006,168,3
13906,52,W. Va.,stec,2006,17,5
13907,52,E.S. CENTRAL,stec,2006,297,2
13908,52,Ala.,stec,2006,32,1
13909,52,Ky.,stec,2006,101,0
13910,52,Miss.,stec,2006,11,0
13911,52,Tenn.,stec,2006,153,1
13912,52,W.S. CENTRAL,stec,2006,324,73
13913,52,Ark.,stec,2006,52,3
13914,52,La.,stec,2006,18,1
13915,52,Okla.,stec,2006,44,1
13916,52,Tex.,stec,2006,210,68
13917,52,MOUNTAIN,stec,2006,543,8
13918,52,Ariz.,stec,2006,105,0
13919,52,Colo.,stec,2006,109,0
13920,52,Idaho,stec,2006,106,2
13921,52,Mont.,stec,2006,0,0
13922,52,Nev.,stec,2006,35,3
13923,52,N. Mex.,stec,2006,46,0
13924,52,Utah,stec,2006,122,3
13925,52,Wyo.,stec,2006,20,0
13926,52,PACIFIC,stec,2006,288,164
13930,52,Oreg.,stec,2006,107,1
13931,52,Wash.,stec,2006,162,162
6902,52,UNITED STATES,grd,2006,18953,1513
6903,52,NEW ENGLAND,grd,2006,1456,27
6904,52,Conn.,grd,2006,307,8
6905,52,Maine,grd,2006,192,3
6906,52,Mass.,grd,2006,621,8
6907,52,N.H.,grd,2006,26,1
6908,52,R.I.,grd,2006,117,4
6909,52,Vt.,grd,2006,193,3
6910,52,MID. ATLANTIC,grd,2006,3611,127
6911,52,N.J.,grd,2006,476,4
6912,52,N.Y. (Upstate),grd,2006,1375,108
6913,52,N.Y. City,grd,2006,936,3
6914,52,Pa.,grd,2006,824,12
6915,52,E.N. CENTRAL,grd,2006,2806,31
6916,52,Ill.,grd,2006,695,4
6918,52,Mich.,grd,2006,715,15
6919,52,Ohio,grd,2006,809,7
6920,52,Wis.,grd,2006,587,5
6921,52,W.N. CENTRAL,grd,2006,2307,553
6922,52,Iowa,grd,2006,303,7
6923,52,Kans.,grd,2006,198,3
6924,52,Minn.,grd,2006,1001,514
6925,52,Mo.,grd,2006,548,6
6926,52,Nebr.,grd,2006,122,7
6927,52,N. Dak.,grd,2006,38,16
6928,52,S. Dak.,grd,2006,97,0
6929,52,S. ATLANTIC,grd,2006,2858,106
6930,52,Del.,grd,2006,43,2
6931,52,D.C.,grd,2006,69,7
6932,52,Fla.,grd,2006,1165,39
6933,52,Ga.,grd,2006,642,10
6934,52,Md.,grd,2006,256,7
6935,52,N.C.,grd,2006,0,0
6936,52,S.C.,grd,2006,112,8
6937,52,Va.,grd,2006,514,12
6938,52,W. Va.,grd,2006,57,21
6939,52,E.S. CENTRAL,grd,2006,465,12
6940,52,Ala.,grd,2006,224,10
6943,52,Tenn.,grd,2006,241,2
6944,52,W.S. CENTRAL,grd,2006,401,55
6945,52,Ark.,grd,2006,148,13
6946,52,La.,grd,2006,87,0
6947,52,Okla.,grd,2006,166,42
6949,52,MOUNTAIN,grd,2006,1709,44
6950,52,Ariz.,grd,2006,163,2
6951,52,Colo.,grd,2006,554,8
6952,52,Idaho,grd,2006,190,2
6953,52,Mont.,grd,2006,103,2
6954,52,Nev.,grd,2006,110,2
6955,52,N. Mex.,grd,2006,80,1
6956,52,Utah,grd,2006,471,27
6957,52,Wyo.,grd,2006,38,0
6958,52,PACIFIC,grd,2006,3340,558
6960,52,Calif.,grd,2006,2303,93
6962,52,Oreg.,grd,2006,417,8
6963,52,Wash.,grd,2006,449,449
10386,52,UNITED STATES,lgn,2006,2796,106
10387,52,NEW ENGLAND,lgn,2006,190,10
10388,52,Conn.,lgn,2006,59,5
10389,52,Maine,lgn,2006,11,0
10390,52,Mass.,lgn,2006,69,0
10391,52,N.H.,lgn,2006,15,0
10392,52,R.I.,lgn,2006,28,5
10393,52,Vt.,lgn,2006,8,0
10394,52,MID. ATLANTIC,lgn,2006,984,25
10395,52,N.J.,lgn,2006,120,0
10396,52,N.Y. (Upstate),lgn,2006,345,22
10397,52,N.Y. City,lgn,2006,185,0
10398,52,Pa.,lgn,2006,334,3
10399,52,E.N. CENTRAL,lgn,2006,612,11
10400,52,Ill.,lgn,2006,128,5
10401,52,Ind.,lgn,2006,54,2
10402,52,Mich.,lgn,2006,151,1
10403,52,Ohio,lgn,2006,231,2
10404,52,Wis.,lgn,2006,48,1
10405,52,W.N. CENTRAL,lgn,2006,85,2
10406,52,Iowa,lgn,2006,12,0
10407,52,Kans.,lgn,2006,10,0
10408,52,Minn.,lgn,2006,26,1
10409,52,Mo.,lgn,2006,22,0
10410,52,Nebr.,lgn,2006,9,0
10411,52,N. Dak.,lgn,2006,1,1
10412,52,S. Dak.,lgn,2006,5,0
10413,52,S. ATLANTIC,lgn,2006,497,25
10414,52,Del.,lgn,2006,12,0
10415,52,D.C.,lgn,2006,33,0
10416,52,Fla.,lgn,2006,167,9
10417,52,Ga.,lgn,2006,38,0
10418,52,Md.,lgn,2006,109,3
10419,52,N.C.,lgn,2006,42,4
10420,52,S.C.,lgn,2006,8,2
10421,52,Va.,lgn,2006,68,3
10422,52,W. Va.,lgn,2006,20,4
10423,52,E.S. CENTRAL,lgn,2006,112,3
10424,52,Ala.,lgn,2006,10,1
10425,52,Ky.,lgn,2006,48,0
10426,52,Miss.,lgn,2006,5,0
10427,52,Tenn.,lgn,2006,49,2
10428,52,W.S. CENTRAL,lgn,2006,94,16
10429,52,Ark.,lgn,2006,4,0
10430,52,La.,lgn,2006,11,0
10431,52,Okla.,lgn,2006,10,3
10432,52,Tex.,lgn,2006,69,13
10433,52,MOUNTAIN,lgn,2006,125,3
10434,52,Ariz.,lgn,2006,38,1
10435,52,Colo.,lgn,2006,27,0
10436,52,Idaho,lgn,2006,11,0
10437,52,Mont.,lgn,2006,7,1
10438,52,Nev.,lgn,2006,11,0
10439,52,N. Mex.,lgn,2006,5,0
10440,52,Utah,lgn,2006,26,1
10441,52,Wyo.,lgn,2006,0,0
10442,52,PACIFIC,lgn,2006,97,11
10444,52,Calif.,lgn,2006,96,11
10446,52,Oreg.,lgn,2006,0,0
10447,52,Wash.,lgn,2006,0,0
13870,52,UNITED STATES,salm,2006,45808,2338
13871,52,NEW ENGLAND,salm,2006,2303,34
13872,52,Conn.,salm,2006,503,0
13873,52,Maine,salm,2006,161,6
13874,52,Mass.,salm,2006,1214,7
13875,52,N.H.,salm,2006,225,1
13876,52,R.I.,salm,2006,119,20
13877,52,Vt.,salm,2006,81,0
13878,52,MID. ATLANTIC,salm,2006,5521,176
13879,52,N.J.,salm,2006,1120,20
13880,52,N.Y. (Upstate),salm,2006,1423,112
13881,52,N.Y. City,salm,2006,1277,25
13882,52,Pa.,salm,2006,1701,19
13883,52,E.N. CENTRAL,salm,2006,5695,116
13884,52,Ill.,salm,2006,1603,29
13885,52,Ind.,salm,2006,898,54
13886,52,Mich.,salm,2006,998,11
13887,52,Ohio,salm,2006,1290,10
13888,52,Wis.,salm,2006,906,12
13889,52,W.N. CENTRAL,salm,2006,2725,88
13890,52,Iowa,salm,2006,476,7
13891,52,Kans.,salm,2006,368,1
13892,52,Minn.,salm,2006,724,44
13893,52,Mo.,salm,2006,766,13
13894,52,Nebr.,salm,2006,201,0
13895,52,N. Dak.,salm,2006,55,23
13896,52,S. Dak.,salm,2006,135,0
13897,52,S. ATLANTIC,salm,2006,11805,288
13898,52,Del.,salm,2006,150,1
13899,52,D.C.,salm,2006,65,3
13900,52,Fla.,salm,2006,4928,160
13901,52,Ga.,salm,2006,1835,22
13902,52,Md.,salm,2006,780,9
13903,52,N.C.,salm,2006,1696,5
13904,52,S.C.,salm,2006,1091,36
13905,52,Va.,salm,2006,1089,21
13906,52,W. Va.,salm,2006,171,31
13907,52,E.S. CENTRAL,salm,2006,2987,61
13908,52,Ala.,salm,2006,910,27
13909,52,Ky.,salm,2006,463,9
13910,52,Miss.,salm,2006,787,7
13911,52,Tenn.,salm,2006,827,18
13912,52,W.S. CENTRAL,salm,2006,5712,595
13913,52,Ark.,salm,2006,918,18
13914,52,La.,salm,2006,1129,4
13915,52,Okla.,salm,2006,605,103
13916,52,Tex.,salm,2006,3060,470
13917,52,MOUNTAIN,salm,2006,2725,90
13918,52,Ariz.,salm,2006,958,44
13919,52,Colo.,salm,2006,625,12
13920,52,Idaho,salm,2006,179,3
13921,52,Mont.,salm,2006,132,3
13922,52,Nev.,salm,2006,245,9
13923,52,N. Mex.,salm,2006,261,4
13924,52,Utah,salm,2006,278,13
13925,52,Wyo.,salm,2006,47,2
13926,52,PACIFIC,salm,2006,6335,890
13928,52,Calif.,salm,2006,4939,260
13930,52,Oreg.,salm,2006,422,0
13931,52,Wash.,salm,2006,627,625
13870,52,UNITED STATES,shig,2006,15503,1287
13871,52,NEW ENGLAND,shig,2006,280,5
13872,52,Conn.,shig,2006,67,0
13873,52,Maine,shig,2006,10,0
13874,52,Mass.,shig,2006,168,2
13875,52,N.H.,shig,2006,11,0
13876,52,R.I.,shig,2006,18,3
13877,52,Vt.,shig,2006,6,0
13878,52,MID. ATLANTIC,shig,2006,922,47
13879,52,N.J.,shig,2006,291,4
13880,52,N.Y. (Upstate),shig,2006,269,42
13881,52,N.Y. City,shig,2006,274,1
13882,52,Pa.,shig,2006,88,0
13883,52,E.N. CENTRAL,shig,2006,1485,32
13884,52,Ill.,shig,2006,720,17
13885,52,Ind.,shig,2006,178,10
13886,52,Mich.,shig,2006,152,1
13887,52,Ohio,shig,2006,196,4
