rowid,week,location,pathogen,year,num_cases,current_week
3418,52,UNITED STATES,crypto,2001,3787,87
3419,52,NEW ENGLAND,crypto,2001,152,3
3420,52,Maine,crypto,2001,19,1
3421,52,N.H.,crypto,2001,17,0
3422,52,Vt.,crypto,2001,34,0
3423,52,Mass.,crypto,2001,55,0
3424,52,R.I.,crypto,2001,10,2
3425,52,Conn.,crypto,2001,17,0
3426,52,MID. ATLANTIC,crypto,2001,374,23
3427,52,Upstate N.Y.,crypto,2001,125,17
3428,52,N.Y. City,crypto,2001,123,0
3429,52,N.J.,crypto,2001,24,0
3430,52,Pa.,crypto,2001,102,6
3431,52,E.N. CENTRAL,crypto,2001,1609,27
3432,52,Ohio,crypto,2001,185,4
3433,52,Ind.,crypto,2001,90,8
3434,52,Ill.,crypto,2001,483,1
3435,52,Mich.,crypto,2001,187,6
3436,52,Wis.,crypto,2001,664,8
3437,52,W.N. CENTRAL,crypto,2001,546,18
3438,52,Minn.,crypto,2001,197,14
3439,52,Iowa,crypto,2001,82,1
3440,52,Mo.,crypto,2001,55,1
3441,52,N. Dak.,crypto,2001,15,2
3442,52,S. Dak.,crypto,2001,8,0
3443,52,Nebr.,crypto,2001,185,0
3444,52,Kans.,crypto,2001,4,0
3445,52,S. ATLANTIC,crypto,2001,380,3
3446,52,Del.,crypto,2001,6,0
3447,52,Md.,crypto,2001,40,0
3448,52,D.C.,crypto,2001,14,0
3449,52,Va.,crypto,2001,27,0
3450,52,W. Va.,crypto,2001,2,0
3451,52,N.C.,crypto,2001,31,0
3452,52,S.C.,crypto,2001,7,0
3453,52,Ga.,crypto,2001,162,2
3454,52,Fla.,crypto,2001,91,1
3455,52,E.S. CENTRAL,crypto,2001,62,8
3456,52,Ky.,crypto,2001,5,0
3457,52,Tenn.,crypto,2001,24,8
3458,52,Ala.,crypto,2001,18,0
3459,52,Miss.,crypto,2001,15,0
3460,52,W.S. CENTRAL,crypto,2001,130,1
3461,52,Ark.,crypto,2001,10,0
3462,52,La.,crypto,2001,8,0
3463,52,Okla.,crypto,2001,16,1
3464,52,Tex.,crypto,2001,96,0
3465,52,MOUNTAIN,crypto,2001,243,3
3466,52,Mont.,crypto,2001,37,0
3467,52,Idaho,crypto,2001,23,0
3468,52,Wyo.,crypto,2001,7,0
3469,52,Colo.,crypto,2001,44,1
3470,52,N. Mex.,crypto,2001,30,0
3471,52,Ariz.,crypto,2001,11,0
3472,52,Utah,crypto,2001,84,2
3473,52,Nev.,crypto,2001,7,0
3474,52,PACIFIC,crypto,2001,291,1
3476,52,Oreg.,crypto,2001,58,0
3477,52,Calif.,crypto,2001,229,1
10387,52,UNITED STATES,lgn,2001,1171,88
10388,52,NEW ENGLAND,lgn,2001,74,1
10389,52,Maine,lgn,2001,8,0
10390,52,N.H.,lgn,2001,12,0
10391,52,Vt.,lgn,2001,5,0
10392,52,Mass.,lgn,2001,21,0
10393,52,R.I.,lgn,2001,13,0
10394,52,Conn.,lgn,2001,15,1
10395,52,MID. ATLANTIC,lgn,2001,286,23
10396,52,Upstate N.Y.,lgn,2001,82,13
10397,52,N.Y. City,lgn,2001,43,0
10398,52,N.J.,lgn,2001,24,0
10399,52,Pa.,lgn,2001,137,10
10400,52,E.N. CENTRAL,lgn,2001,316,3
10401,52,Ohio,lgn,2001,143,1
10402,52,Ind.,lgn,2001,23,1
10403,52,Ill.,lgn,2001,24,0
10404,52,Mich.,lgn,2001,82,1
10405,52,Wis.,lgn,2001,44,0
10406,52,W.N. CENTRAL,lgn,2001,55,7
10407,52,Minn.,lgn,2001,15,6
10408,52,Iowa,lgn,2001,8,0
10409,52,Mo.,lgn,2001,22,0
10410,52,N. Dak.,lgn,2001,1,0
10411,52,S. Dak.,lgn,2001,3,0
10412,52,Nebr.,lgn,2001,5,1
10413,52,Kans.,lgn,2001,1,0
10414,52,S. ATLANTIC,lgn,2001,224,44
10415,52,Del.,lgn,2001,12,0
10416,52,Md.,lgn,2001,32,0
10417,52,D.C.,lgn,2001,8,0
10418,52,Va.,lgn,2001,39,11
10420,52,N.C.,lgn,2001,11,0
10421,52,S.C.,lgn,2001,15,1
10422,52,Ga.,lgn,2001,12,0
10423,52,Fla.,lgn,2001,95,32
10424,52,E.S. CENTRAL,lgn,2001,63,3
10425,52,Ky.,lgn,2001,14,1
10426,52,Tenn.,lgn,2001,32,2
10427,52,Ala.,lgn,2001,13,0
10428,52,Miss.,lgn,2001,4,0
10429,52,W.S. CENTRAL,lgn,2001,31,4
10430,52,Ark.,lgn,2001,0,0
10431,52,La.,lgn,2001,7,0
10432,52,Okla.,lgn,2001,7,4
10433,52,Tex.,lgn,2001,17,0
10434,52,MOUNTAIN,lgn,2001,58,1
10435,52,Mont.,lgn,2001,0,0
10436,52,Idaho,lgn,2001,3,0
10437,52,Wyo.,lgn,2001,3,0
10438,52,Colo.,lgn,2001,17,0
10439,52,N. Mex.,lgn,2001,3,0
10440,52,Ariz.,lgn,2001,21,1
10441,52,Utah,lgn,2001,7,0
10442,52,Nev.,lgn,2001,4,0
10443,52,PACIFIC,lgn,2001,64,2
10444,52,Wash.,lgn,2001,10,0
10446,52,Calif.,lgn,2001,48,2
13871,52,UNITED STATES,salm,2001,40518,1343
13872,52,NEW ENGLAND,salm,2001,2344,53
13873,52,Maine,salm,2001,168,3
13874,52,N.H.,salm,2001,166,3
13875,52,Vt.,salm,2001,82,1
13876,52,Mass.,salm,2001,1328,14
13877,52,R.I.,salm,2001,151,12
13878,52,Conn.,salm,2001,449,20
13879,52,MID. ATLANTIC,salm,2001,5428,282
13880,52,Upstate N.Y.,salm,2001,1398,168
13881,52,N.Y. City,salm,2001,1313,10
13882,52,N.J.,salm,2001,1174,11
13883,52,Pa.,salm,2001,1543,93
13884,52,E.N. CENTRAL,salm,2001,4999,72
13885,52,Ohio,salm,2001,1352,9
13886,52,Ind.,salm,2001,549,29
13887,52,Ill.,salm,2001,1383,17
13888,52,Mich.,salm,2001,885,9
13889,52,Wis.,salm,2001,830,8
13890,52,W.N. CENTRAL,salm,2001,2380,90
13891,52,Minn.,salm,2001,689,52
13892,52,Iowa,salm,2001,335,1
13893,52,Mo.,salm,2001,648,14
13894,52,N. Dak.,salm,2001,73,11
13895,52,S. Dak.,salm,2001,151,4
13896,52,Nebr.,salm,2001,170,6
13897,52,Kans.,salm,2001,314,2
13898,52,S. ATLANTIC,salm,2001,9681,279
13899,52,Del.,salm,2001,96,2
13900,52,Md.,salm,2001,809,16
13901,52,D.C.,salm,2001,81,0
13902,52,Va.,salm,2001,1368,67
13903,52,W. Va.,salm,2001,183,42
13904,52,N.C.,salm,2001,1386,18
13905,52,S.C.,salm,2001,915,39
13906,52,Ga.,salm,2001,1721,25
13907,52,Fla.,salm,2001,3122,70
13908,52,E.S. CENTRAL,salm,2001,2775,85
13909,52,Ky.,salm,2001,406,34
13910,52,Tenn.,salm,2001,706,45
13911,52,Ala.,salm,2001,748,2
13912,52,Miss.,salm,2001,915,4
13913,52,W.S. CENTRAL,salm,2001,5052,80
13914,52,Ark.,salm,2001,928,20
13915,52,La.,salm,2001,832,9
13916,52,Okla.,salm,2001,500,25
13917,52,Tex.,salm,2001,2792,26
13918,52,MOUNTAIN,salm,2001,2332,134
13919,52,Mont.,salm,2001,81,3
13920,52,Idaho,salm,2001,146,3
13921,52,Wyo.,salm,2001,61,0
13922,52,Colo.,salm,2001,592,6
13923,52,N. Mex.,salm,2001,280,1
13924,52,Ariz.,salm,2001,741,104
13925,52,Utah,salm,2001,229,11
13926,52,Nev.,salm,2001,202,6
13927,52,PACIFIC,salm,2001,5527,268
13928,52,Wash.,salm,2001,681,136
13929,52,Oreg.,salm,2001,281,7
13930,52,Calif.,salm,2001,4159,120
17355,52,UNITED STATES,shig,2001,20250,839
17356,52,NEW ENGLAND,shig,2001,312,9
17357,52,Maine,shig,2001,6,0
17358,52,N.H.,shig,2001,7,0
17359,52,Vt.,shig,2001,7,0
17360,52,Mass.,shig,2001,208,2
17361,52,R.I.,shig,2001,24,1
17362,52,Conn.,shig,2001,60,6
17363,52,MID. ATLANTIC,shig,2001,1508,45
17364,52,Upstate N.Y.,shig,2001,489,21
17365,52,N.Y. City,shig,2001,410,1
17366,52,N.J.,shig,2001,274,6
17367,52,Pa.,shig,2001,335,17
17368,52,E.N. CENTRAL,shig,2001,4471,76
17369,52,Ohio,shig,2001,2979,30
17370,52,Ind.,shig,2001,253,30
17371,52,Ill.,shig,2001,630,9
17372,52,Mich.,shig,2001,304,3
17373,52,Wis.,shig,2001,305,4
17374,52,W.N. CENTRAL,shig,2001,2112,160
17375,52,Minn.,shig,2001,496,64
17376,52,Iowa,shig,2001,365,6
17377,52,Mo.,shig,2001,321,5
17378,52,N. Dak.,shig,2001,27,5
17379,52,S. Dak.,shig,2001,716,74
17380,52,Nebr.,shig,2001,111,6
17381,52,Kans.,shig,2001,76,0
17382,52,S. ATLANTIC,shig,2001,3440,282
17383,52,Del.,shig,2001,17,0
17384,52,Md.,shig,2001,163,6
17385,52,D.C.,shig,2001,54,0
17386,52,Va.,shig,2001,784,190
17387,52,W. Va.,shig,2001,8,0
17388,52,N.C.,shig,2001,356,2
17389,52,S.C.,shig,2001,251,4
17390,52,Ga.,shig,2001,752,47
17391,52,Fla.,shig,2001,1055,33
