rowid,week,location,pathogen,year,num_cases,current_week
3418,52,UNITED STATES,crypto,2005,8271,594
3419,52,NEW ENGLAND,crypto,2005,364,14
3420,52,Conn.,crypto,2005,84,5
3421,52,Maine,crypto,2005,30,0
3422,52,Mass.,crypto,2005,152,1
3423,52,N.H.,crypto,2005,40,2
3424,52,R.I.,crypto,2005,19,6
3425,52,Vt.,crypto,2005,39,0
3426,52,MID. ATLANTIC,crypto,2005,3845,444
3427,52,N.J.,crypto,2005,58,0
3428,52,N.Y. (Upstate),crypto,2005,3365,441
3429,52,N.Y. City,crypto,2005,148,2
3430,52,Pa.,crypto,2005,274,1
3431,52,E.N. CENTRAL,crypto,2005,1637,13
3432,52,Ill.,crypto,2005,160,0
3433,52,Ind.,crypto,2005,94,9
3434,52,Mich.,crypto,2005,112,0
3435,52,Ohio,crypto,2005,774,4
3436,52,Wis.,crypto,2005,497,0
3437,52,W.N. CENTRAL,crypto,2005,639,29
3438,52,Iowa,crypto,2005,122,1
3439,52,Kans.,crypto,2005,40,0
3440,52,Minn.,crypto,2005,166,22
3441,52,Mo.,crypto,2005,246,0
3442,52,Nebr.,crypto,2005,29,1
3443,52,N. Dak.,crypto,2005,5,4
3444,52,S. Dak.,crypto,2005,31,1
3445,52,S. ATLANTIC,crypto,2005,774,16
3446,52,Del.,crypto,2005,6,0
3447,52,D.C.,crypto,2005,18,0
3448,52,Fla.,crypto,2005,350,5
3449,52,Ga.,crypto,2005,152,2
3450,52,Md.,crypto,2005,34,0
3451,52,N.C.,crypto,2005,92,0
3452,52,S.C.,crypto,2005,24,0
3453,52,Va.,crypto,2005,77,6
3454,52,W. Va.,crypto,2005,21,3
3455,52,E.S. CENTRAL,crypto,2005,230,2
3456,52,Ala.,crypto,2005,29,1
3457,52,Ky.,crypto,2005,149,1
3458,52,Miss.,crypto,2005,3,0
3459,52,Tenn.,crypto,2005,49,0
3460,52,W.S. CENTRAL,crypto,2005,252,24
3461,52,Ark.,crypto,2005,8,2
3462,52,La.,crypto,2005,83,1
3463,52,Okla.,crypto,2005,46,2
3464,52,Tex.,crypto,2005,115,19
3465,52,MOUNTAIN,crypto,2005,143,0
3466,52,Ariz.,crypto,2005,11,0
3467,52,Colo.,crypto,2005,50,0
3468,52,Idaho,crypto,2005,15,0
3469,52,Mont.,crypto,2005,23,0
3470,52,Nev.,crypto,2005,13,0
3471,52,N. Mex.,crypto,2005,17,0
3472,52,Utah,crypto,2005,11,0
3473,52,Wyo.,crypto,2005,3,0
3474,52,PACIFIC,crypto,2005,387,52
3476,52,Calif.,crypto,2005,214,14
3478,52,Oreg.,crypto,2005,69,0
3479,52,Wash.,crypto,2005,100,38
17354,52,UNITED STATES,stec,2005,3502,297
17355,52,NEW ENGLAND,stec,2005,228,7
17356,52,Conn.,stec,2005,63,3
17357,52,Maine,stec,2005,29,0
17358,52,Mass.,stec,2005,87,1
17359,52,N.H.,stec,2005,19,1
17360,52,R.I.,stec,2005,9,2
17361,52,Vt.,stec,2005,21,0
17362,52,MID. ATLANTIC,stec,2005,463,107
17363,52,N.J.,stec,2005,78,2
17364,52,N.Y. (Upstate),stec,2005,237,103
17365,52,N.Y. City,stec,2005,17,0
17366,52,Pa.,stec,2005,131,2
17367,52,E.N. CENTRAL,stec,2005,643,11
17368,52,Ill.,stec,2005,140,1
17369,52,Ind.,stec,2005,77,6
17370,52,Mich.,stec,2005,95,1
17371,52,Ohio,stec,2005,170,1
17372,52,Wis.,stec,2005,161,2
17373,52,W.N. CENTRAL,stec,2005,553,24
17374,52,Iowa,stec,2005,100,1
17375,52,Kans.,stec,2005,54,0
17376,52,Minn.,stec,2005,181,7
17377,52,Mo.,stec,2005,98,1
17378,52,Nebr.,stec,2005,64,0
17379,52,N. Dak.,stec,2005,23,15
17380,52,S. Dak.,stec,2005,33,0
17381,52,S. ATLANTIC,stec,2005,463,39
17382,52,Del.,stec,2005,9,0
17383,52,D.C.,stec,2005,2,0
17384,52,Fla.,stec,2005,132,29
17385,52,Ga.,stec,2005,49,0
17386,52,Md.,stec,2005,75,0
17387,52,N.C.,stec,2005,64,0
17388,52,S.C.,stec,2005,14,0
17389,52,Va.,stec,2005,111,8
17390,52,W. Va.,stec,2005,7,2
17391,52,E.S. CENTRAL,stec,2005,177,2
17392,52,Ala.,stec,2005,30,1
17393,52,Ky.,stec,2005,76,0
17394,52,Miss.,stec,2005,8,0
17395,52,Tenn.,stec,2005,63,1
17396,52,W.S. CENTRAL,stec,2005,169,52
17397,52,Ark.,stec,2005,13,0
17398,52,La.,stec,2005,22,0
17399,52,Okla.,stec,2005,38,8
17400,52,Tex.,stec,2005,96,44
17401,52,MOUNTAIN,stec,2005,316,5
17402,52,Ariz.,stec,2005,35,1
17403,52,Colo.,stec,2005,83,1
17404,52,Idaho,stec,2005,53,0
17405,52,Mont.,stec,2005,16,0
17406,52,Nev.,stec,2005,28,3
17407,52,N. Mex.,stec,2005,25,0
17408,52,Utah,stec,2005,66,0
17409,52,Wyo.,stec,2005,10,0
17410,52,PACIFIC,stec,2005,490,50
17412,52,Calif.,stec,2005,182,18
17414,52,Oreg.,stec,2005,158,0
17415,52,Wash.,stec,2005,137,32
6902,52,UNITED STATES,grd,2005,19789,1029
6903,52,NEW ENGLAND,grd,2005,1712,75
6904,52,Conn.,grd,2005,400,31
6905,52,Maine,grd,2005,203,4
6906,52,Mass.,grd,2005,724,10
6907,52,N.H.,grd,2005,66,2
6908,52,R.I.,grd,2005,132,25
6909,52,Vt.,grd,2005,187,3
6910,52,MID. ATLANTIC,grd,2005,3629,254
6911,52,N.J.,grd,2005,457,3
6912,52,N.Y. (Upstate),grd,2005,1412,227
6913,52,N.Y. City,grd,2005,873,4
6914,52,Pa.,grd,2005,887,20
6915,52,E.N. CENTRAL,grd,2005,3310,48
6916,52,Ill.,grd,2005,772,10
6918,52,Mich.,grd,2005,783,4
6919,52,Ohio,grd,2005,817,18
6920,52,Wis.,grd,2005,938,16
6921,52,W.N. CENTRAL,grd,2005,2515,260
6922,52,Iowa,grd,2005,280,1
6923,52,Kans.,grd,2005,213,6
6924,52,Minn.,grd,2005,1240,238
6925,52,Mo.,grd,2005,522,6
6926,52,Nebr.,grd,2005,116,1
6927,52,N. Dak.,grd,2005,26,7
6928,52,S. Dak.,grd,2005,118,1
6929,52,S. ATLANTIC,grd,2005,2828,95
6930,52,Del.,grd,2005,58,0
6931,52,D.C.,grd,2005,56,2
6932,52,Fla.,grd,2005,987,17
6933,52,Ga.,grd,2005,754,14
6934,52,Md.,grd,2005,210,7
6936,52,S.C.,grd,2005,106,1
6937,52,Va.,grd,2005,602,50
6938,52,W. Va.,grd,2005,55,4
6939,52,E.S. CENTRAL,grd,2005,433,10
6940,52,Ala.,grd,2005,200,6
6942,52,Miss.,grd,2005,0,0
6943,52,Tenn.,grd,2005,233,4
6944,52,W.S. CENTRAL,grd,2005,349,31
6945,52,Ark.,grd,2005,88,6
6946,52,La.,grd,2005,64,1
6947,52,Okla.,grd,2005,197,24
6949,52,MOUNTAIN,grd,2005,1586,54
6950,52,Ariz.,grd,2005,183,36
6951,52,Colo.,grd,2005,534,7
6952,52,Idaho,grd,2005,155,1
6953,52,Mont.,grd,2005,81,1
6954,52,Nev.,grd,2005,113,0
6955,52,N. Mex.,grd,2005,91,2
6956,52,Utah,grd,2005,398,6
6957,52,Wyo.,grd,2005,31,1
6958,52,PACIFIC,grd,2005,3427,202
6960,52,Calif.,grd,2005,2404,105
6962,52,Oreg.,grd,2005,416,5
6963,52,Wash.,grd,2005,434,90
10386,52,UNITED STATES,lgn,2005,2309,127
10387,52,NEW ENGLAND,lgn,2005,159,10
10388,52,Conn.,lgn,2005,35,0
10389,52,Maine,lgn,2005,7,0
10390,52,Mass.,lgn,2005,67,0
10391,52,N.H.,lgn,2005,9,0
10392,52,R.I.,lgn,2005,31,10
10393,52,Vt.,lgn,2005,10,0
10394,52,MID. ATLANTIC,lgn,2005,789,35
10395,52,N.J.,lgn,2005,121,0
10396,52,N.Y. (Upstate),lgn,2005,240,29
10397,52,N.Y. City,lgn,2005,119,2
10398,52,Pa.,lgn,2005,309,4
10399,52,E.N. CENTRAL,lgn,2005,463,12
10400,52,Ill.,lgn,2005,66,2
10401,52,Ind.,lgn,2005,33,1
10402,52,Mich.,lgn,2005,122,1
10403,52,Ohio,lgn,2005,206,6
10404,52,Wis.,lgn,2005,36,2
10405,52,W.N. CENTRAL,lgn,2005,106,8
10406,52,Iowa,lgn,2005,8,0
10407,52,Kans.,lgn,2005,4,1
10408,52,Minn.,lgn,2005,34,5
10409,52,Mo.,lgn,2005,31,1
10410,52,Nebr.,lgn,2005,5,0
10411,52,N. Dak.,lgn,2005,3,1
10412,52,S. Dak.,lgn,2005,21,0
10413,52,S. ATLANTIC,lgn,2005,437,19
10414,52,Del.,lgn,2005,19,0
10415,52,D.C.,lgn,2005,14,1
10416,52,Fla.,lgn,2005,119,6
10417,52,Ga.,lgn,2005,39,0
10418,52,Md.,lgn,2005,112,1
10419,52,N.C.,lgn,2005,36,0
10420,52,S.C.,lgn,2005,16,1
10421,52,Va.,lgn,2005,55,7
10422,52,W. Va.,lgn,2005,27,3
10423,52,E.S. CENTRAL,lgn,2005,90,3
10424,52,Ala.,lgn,2005,14,0
10425,52,Ky.,lgn,2005,33,1
10426,52,Miss.,lgn,2005,4,1
10427,52,Tenn.,lgn,2005,39,1
10428,52,W.S. CENTRAL,lgn,2005,78,32
10429,52,Ark.,lgn,2005,9,3
10430,52,La.,lgn,2005,4,0
10431,52,Okla.,lgn,2005,10,3
10432,52,Tex.,lgn,2005,55,26
10433,52,MOUNTAIN,lgn,2005,100,3
10434,52,Ariz.,lgn,2005,26,1
10435,52,Colo.,lgn,2005,20,0
10436,52,Idaho,lgn,2005,4,0
