rowid,week,location,pathogen,year,num_cases,current_week
4081,52,UNITED STATES,crypto,2009,7393,183
4082,52,NEW ENGLAND,crypto,2009,458,12
4083,52,Conn.,crypto,2009,38,0
4084,52,Maine,crypto,2009,55,4
4085,52,Mass.,crypto,2009,181,5
4086,52,N.H.,crypto,2009,83,2
4087,52,R.I.,crypto,2009,22,0
4088,52,Vt.,crypto,2009,79,1
4089,52,MID. ATLANTIC,crypto,2009,820,17
4090,52,N.J.,crypto,2009,53,0
4091,52,N.Y. (Upstate),crypto,2009,222,16
4092,52,N.Y. City,crypto,2009,80,0
4093,52,Pa.,crypto,2009,465,1
4094,52,E.N. CENTRAL,crypto,2009,1716,22
4095,52,Ill.,crypto,2009,154,1
4096,52,Ind.,crypto,2009,284,6
4097,52,Mich.,crypto,2009,282,2
4098,52,Ohio,crypto,2009,384,7
4099,52,Wis.,crypto,2009,612,6
4100,52,W.N. CENTRAL,crypto,2009,1124,39
4101,52,Iowa,crypto,2009,211,4
4102,52,Kans.,crypto,2009,104,2
4103,52,Minn.,crypto,2009,347,12
4104,52,Mo.,crypto,2009,183,2
4105,52,Nebr.,crypto,2009,116,0
4106,52,N. Dak.,crypto,2009,31,18
4107,52,S. Dak.,crypto,2009,132,1
4108,52,S. ATLANTIC,crypto,2009,1138,18
4109,52,Del.,crypto,2009,12,0
4110,52,D.C.,crypto,2009,8,0
4111,52,Fla.,crypto,2009,456,5
4112,52,Ga.,crypto,2009,336,1
4113,52,Md.,crypto,2009,43,0
4114,52,N.C.,crypto,2009,116,3
4115,52,S.C.,crypto,2009,61,2
4116,52,Va.,crypto,2009,86,5
4117,52,W. Va.,crypto,2009,20,2
4118,52,E.S. CENTRAL,crypto,2009,231,6
4119,52,Ala.,crypto,2009,68,2
4120,52,Ky.,crypto,2009,67,2
4121,52,Miss.,crypto,2009,19,1
4122,52,Tenn.,crypto,2009,77,1
4123,52,W.S. CENTRAL,crypto,2009,596,39
4124,52,Ark.,crypto,2009,60,3
4125,52,La.,crypto,2009,56,1
4126,52,Okla.,crypto,2009,128,5
4127,52,Tex.,crypto,2009,352,30
4128,52,MOUNTAIN,crypto,2009,560,7
4129,52,Ariz.,crypto,2009,34,0
4130,52,Colo.,crypto,2009,137,2
4131,52,Idaho,crypto,2009,97,1
4132,52,Mont.,crypto,2009,57,0
4133,52,Nev.,crypto,2009,25,0
4134,52,N. Mex.,crypto,2009,146,4
4135,52,Utah,crypto,2009,39,0
4136,52,Wyo.,crypto,2009,25,0
4137,52,PACIFIC,crypto,2009,750,23
4139,52,Calif.,crypto,2009,459,15
4141,52,Oreg.,crypto,2009,185,0
4142,52,Wash.,crypto,2009,97,8
16583,52,UNITED STATES,stec,2009,4643,198
16584,52,NEW ENGLAND,stec,2009,292,1
16585,52,Conn.,stec,2009,67,0
16586,52,Maine,stec,2009,19,0
16587,52,Mass.,stec,2009,106,0
16588,52,N.H.,stec,2009,37,1
16589,52,R.I.,stec,2009,38,0
16590,52,Vt.,stec,2009,25,0
16591,52,MID. ATLANTIC,stec,2009,435,15
16592,52,N.J.,stec,2009,106,1
